"PERSISTENCE,PRIVILEGE_ESCALATION", 356
"DEFENSE_EVASION,PRIVILEGE_ESCALATION", 243
"DEFENSE_EVASION,PERSISTENCE", 185
"COLLECTION,CREDENTIAL_ACCESS", 116
"EXECUTION,PERSISTENCE", 57
"CREDENTIAL_ACCESS,DEFENSE_EVASION", 57
"DEFENSE_EVASION,LATERAL_MOVEMENT", 56
"DEFENSE_EVASION,INITIAL_ACCESS", 39
"INITIAL_ACCESS,PERSISTENCE", 39
"DEFENSE_EVASION,DISCOVERY", 39
"INITIAL_ACCESS,LATERAL_MOVEMENT", 25
"DEFENSE_EVASION,EXECUTION", 24
"CREDENTIAL_ACCESS,DISCOVERY", 23
"COMMAND_AND_CONTROL,DEFENSE_EVASION", 19
"CREDENTIAL_ACCESS,PERSISTENCE", 17
"COLLECTION,DISCOVERY", 15
"INITIAL_ACCESS,PRIVILEGE_ESCALATION", 13
"EXECUTION,PRIVILEGE_ESCALATION", 13
"LATERAL_MOVEMENT,PERSISTENCE", 13
"EXECUTION,LATERAL_MOVEMENT", 12
"COLLECTION,COMMAND_AND_CONTROL", 6
"DEFENSE_EVASION,IMPACT", 2
