ID,name,description,url,created,last modified,version,contributors,tactics,detection,platforms,tactic type,MTC ID,relationship citations
T1626,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevated privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can gain on a machine. Authorization has to be granted to specific users in order to perform tasks that are designated as higher risk. An adversary can use several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system. ,https://attack.mitre.org/techniques/T1626,01 April 2022,05 April 2022,1.0,,Privilege Escalation,"When an application requests administrator permission, users are presented with a popup and the option to grant or deny the request. Application vetting services can detect when an application requests administrator permission. Extra scrutiny could be applied to applications that do",Android,Post-Adversary Device Access,APP-22,","
T1517,Access Notifications,"Adversaries may collect data within notifications sent by the operating system or other applications. Notifications may contain sensitive data such as one-time authentication codes sent over SMS, email, or other mediums. In the case of Credential Access, adversaries may attempt to intercept one-time code sent to the device. Adversaries can also dismiss notifications to prevent the user from noticing that the notification has arrived and can trigger action buttons contained within notifications.(Citation: ESET 2FA Bypass) ",https://attack.mitre.org/techniques/T1517,15 September 2019,11 April 2022,1.1,,"Collection, Credential Access",Application vetting services can look for applications requesting the `BIND_NOTIFICATION_LISTENER_SERVICE` permission in a service declaration. Users can also inspect and modify the list of applications that have notification access through the device settings (e.g. Apps & notification -> Special app access -> Notification access). ,Android,Post-Adversary Device Access,,"(Citation: Check Point-Joker),(Citation: TrendMicro Coronavirus Updates),(Citation: Bitdefender Mandrake),(Citation: Talos-WolfRAT),(Citation: Android Notification Listeners)"
T1640,Account Access Removal,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: credentials changed) to remove access to accounts. ",https://attack.mitre.org/techniques/T1640,06 April 2022,06 April 2022,1.0,,Impact,Application vetting services could closely scrutinize applications that request Device Administrator permissions.,Android,Post-Adversary Device Access,,"(Citation: Lookout-Monokle),"
T1638,Adversary-in-the-Middle,"Adversaries may attempt to position themselves between two or more networked devices to support follow-on behaviors such as [Transmitted Data Manipulation](https://attack.mitre.org/techniques/T1565/002) or [Endpoint Denial of Service](https://attack.mitre.org/techniques/T1642).  

 

[Adversary-in-the-Middle](https://attack.mitre.org/techniques/T1638) can be achieved through several mechanisms, such as a malicious application registering itself as a VPN client. By doing this, the adversary can effectively redirect device traffic to wherever they want. However, registering as a VPN client requires user consent on both Android and iOS. Additionally, on iOS, the application requires a special entitlement that must be granted by Apple. Alternatively, if an application is able to escalate privileges, it can potentially utilize those privileges to gain access to network traffic.  

 

Outside of a mobile device, adversaries may be able to capture traffic by employing a rogue base station or Wi-Fi access point. These devices will allow adversaries to capture network traffic after it has left the device, while it is flowing to its destination. On a local network, enterprise techniques could be used, such as DNS redirection or DNS poisoning.  

 

If applications properly encrypt their network traffic, sensitive data may not be accessible an adversary, depending on the point of capture. ",https://attack.mitre.org/techniques/T1638,05 April 2022,11 April 2022,2.0,,Collection,"Application vetting services should look for applications that request VPN access. These applications should be heavily scrutinized since VPN functionality is not very common. Mobile security products can potentially detect rogue Wi-Fi access points if the adversary is attempting to decrypt traffic using an untrusted SSL certificate. 

 

On both Android and iOS, users must grant consent to an application to act as a VPN. Both platforms also provide visual context to the user in the top status bar when a VPN connection is active. Users can see registered VPN services in the device settings. ","Android, iOS",Post-Adversary Device Access,CEL-3,"(Citation: Skycure-Profiles),(Citation: Xiao-KeyRaider),"
T1437,Application Layer Protocol,"Adversaries may communicate using application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the mobile device, and often the results of those commands, will be embedded within the protocol traffic between the mobile device and server. 

Adversaries may utilize many different protocols, including those used for web browsing, transferring files, electronic mail, or DNS.",https://attack.mitre.org/techniques/T1437,25 October 2017,19 April 2022,1.2,,Command and Control,Abuse of standard application protocols can be difficult to detect as many legitimate mobile applications leverage such protocols for language-specific APIs. Enterprises may be better served focusing on detection at other stages of adversarial behavior.,"Android, iOS",Post-Adversary Device Access,APP-29,"(Citation: Lookout Uyghur Campaign),"
T1532,Archive Collected Data,"Adversaries may compress and/or encrypt data that is collected prior to exfiltration. Compressing data can help to obfuscate its contents and minimize use of network resources. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender. 

 

Both compression and encryption are done prior to exfiltration, and can be performed using a utility, programming library, or custom algorithm.  ",https://attack.mitre.org/techniques/T1532,10 October 2019,01 April 2022,2.0,,Collection,Many encryption mechanisms are built into standard application-accessible APIs and are therefore undetectable to the end user.,"Android, iOS",Post-Adversary Device Access,,"(Citation: Securelist Asacub),(Citation: Lookout FrozenCell),(Citation: SWB Exodus March 2019),(Citation: Symantec GoldenCup),(Citation: Lookout Desert Scorpion),(Citation: Cofense Anubis),(Citation: Google Triada June 2019),(Citation: Trend Micro Bouncing Golf 2019),"
T1521.002,Asymmetric Cryptography,"Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic, rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography, also known as public key cryptography, uses a keypair per party: one public that can be freely distributed, and one private that should not be distributed. Due to how asymmetric algorithms work, the sender encrypts data with the receiver’s public key and the receiver decrypts the data with their private key. This ensures that only the intended recipient can read the encrypted data. Common public key encryption algorithms include RSA, ElGamal, and ECDSA.

For efficiency, many protocols (including SSL/TLS) use symmetric cryptography once a connection is established, but use asymmetric cryptography to establish or transmit a key. As such, these protocols are classified as [Asymmetric Cryptography](https://attack.mitre.org/techniques/T1521/002).",https://attack.mitre.org/techniques/T1521/002,05 April 2022,05 April 2022,1.0,,Command and Control,"Since data encryption is a common practice in many legitimate applications and uses standard programming language-specific APIs, encrypting data for command and control communication is regarded as undetectable to the user.","Android, iOS",Post-Adversary Device Access,,"(Citation: Lookout Uyghur Campaign),(Citation: Lookout eSurv),(Citation: CYBERWARCON CHEMISTGAMES),"
T1429,Audio Capture,"Adversaries may capture audio to collect information by leveraging standard operating system APIs of a mobile device. Examples of audio information adversaries may target include user conversations, surroundings, phone calls, or other sensitive information. 

 

Android and iOS, by default, require that applications request device microphone access from the user.  

 

On Android devices, applications must hold the `RECORD_AUDIO` permission to access the microphone or the `CAPTURE_AUDIO_OUTPUT` permission to access audio output. Because Android does not allow third-party applications to hold the `CAPTURE_AUDIO_OUTPUT` permission by default, only privileged applications, such as those distributed by Google or the device vendor, can access audio output.(Citation: Android Permissions) However, adversaries may be able to gain this access after successfully elevating their privileges. With the `CAPTURE_AUDIO_OUTPUT` permission, adversaries may pass the `MediaRecorder.AudioSource.VOICE_CALL` constant to `MediaRecorder.setAudioOutput`, allowing capture of both voice call uplink and downlink.(Citation: Manifest.permission) 

 

On iOS devices, applications must include the `NSMicrophoneUsageDescription` key in their `Info.plist` file to access the microphone.(Citation: Requesting Auth-Media Capture)",https://attack.mitre.org/techniques/T1429,25 October 2017,29 April 2022,3.0,,Collection,"In iOS 14 and up, an orange dot (or orange square if the Differentiate Without Color setting is enabled) appears in the status bar when the microphone is being used by an application. However, there have been demonstrations indicating it may still be possible to access the microphone in the background without triggering this visual indicator by abusing features that natively access the microphone or camera but do not trigger the visual indicators.(Citation: iOS Mic Spyware)


In Android 12 and up, a green dot appears in the status bar when the microphone is being used by an application.(Citation: Android Privacy Indicators)
 

Android applications using the `RECORD_AUDIO` permission and iOS applications using `RequestRecordPermission` should be carefully reviewed and monitored. If the `CAPTURE_AUDIO_OUTPUT` permission is found in a third-party Android application, the application should be heavily scrutinized. 

 

In both Android (6.0 and up) and iOS, users can review which applications have the permission to access the microphone through the device settings screen and revoke permissions as necessary. ","Android, iOS",Post-Adversary Device Access,APP-19,"(Citation: Talos-WolfRAT),(Citation: Cofense Anubis),(Citation: TrendMicro-RCSAndroid),(Citation: SecureList BusyGasper),(Citation: PaloAlto-SpyDealer),(Citation: Zscaler-SpyNote),(Citation: Lookout ViperRAT),(Citation: Lookout-EnterpriseApps),(Citation: Zscaler TikTok Spyware),(Citation: SecureList - ViceLeaker 2019),(Citation: Lookout Uyghur Campaign),(Citation: Kaspersky-Skygofree),(Citation: Zscaler-SuperMarioRun),(Citation: Lookout-Monokle),(Citation: Wandera-RedDrop),(Citation: Lookout-Dendroid),(Citation: Lookout eSurv),(Citation: CyberMerchants-FlexiSpy),(Citation: TrendMicro Coronavirus Updates),(Citation: SWB Exodus March 2019),(Citation: Lookout Desert Scorpion),(Citation: Lookout-PegasusAndroid),(Citation: Bitdefender - Triout 2018),(Citation: Lookout-Pegasus),(Citation: TrendMicro-XLoader),(Citation: Lookout-StealthMango),(Citation: Lookout FrozenCell),(Citation: Symantec GoldenCup),(Citation: Palo Alto HenBox),(Citation: Lookout Dark Caracal Jan 2018),(Citation: BlackBerry Bahamut),(Citation: Trend Micro Bouncing Golf 2019),(Citation: Android Capture Sensor 2019)"
T1481.002,Bidirectional Communication,"Adversaries may use an existing, legitimate external Web service channel as a means for sending commands to and receiving output from a compromised system. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those infected systems can then send the output from those commands back over that Web service channel. The return traffic may occur in a variety of ways, depending on the Web service being utilized. For example, the return traffic may take the form of the compromised system posting a comment on a forum, issuing a pull request to development project, updating a document hosted on a Web service, or by sending a Tweet. 

 

Popular websites and social media, acting as a mechanism for C2, may give a significant amount of cover. This is due to the likelihood that hosts within a network are already communicating with them prior to a compromise. Using common services, such as those offered by Google or Twitter, makes it easier for adversaries to hide in expected noise. Web service providers commonly use SSL/TLS encryption, giving adversaries an added level of protection. ",https://attack.mitre.org/techniques/T1481/002,06 April 2022,06 April 2022,1.0,,Command and Control,"Application vetting services may provide a list of connections made or received by an application, or a list of domains contacted by the application.","Android, iOS",Post-Adversary Device Access,,"(Citation: SecureList BusyGasper),(Citation: Bitdefender Mandrake),(Citation: WhiteOps TERRACOTTA),"
T1398,Boot or Logon Initialization Scripts,Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts are part of the underlying operating system and are not accessible to the user unless the device has been rooted or jailbroken. ,https://attack.mitre.org/techniques/T1398,25 October 2017,11 April 2022,2.0,,Persistence,"On Android, Verified Boot can detect unauthorized modifications to the system partition.(Citation: Android-VerifiedBoot) Android's SafetyNet API provides remote attestation capabilities, which could potentially be used to identify and respond to compromise devices. Samsung Knox provides a similar remote attestation capability on supported Samsung devices. ","Android, iOS",Post-Adversary Device Access,APP-26,"(Citation: HackerNews-OldBoot),"
