"Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may bypass UAC mechanisms to elevate process privileges on system.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may leverage the AuthorizationExecuteWithPrivileges API to escalate privileges by prompting the user for credentials.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"On Linux or macOS, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may do this to execute commands as other users or spawn processes with higher privileges.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Within Linux and MacOS systems, sudo (sometimes referred to as ""superuser do"") allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"The sudo command ""allows a system administrator to delegate authority to give certain users (or groups of users) the ability to run some (or all) commands as root or another user while providing an audit trail of the commands and their arguments.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
""" In order for this change to be reflected, the malware also issued killall Terminal.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"As of macOS Sierra, the sudoers file has tty_tickets enabled by default.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Windows uses access tokens to determine the ownership of a running process.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"When this occurs, the process also takes on the security context associated with the new token.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"These token can then be applied to an existing process (i.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"[Token Impersonation/Theft]) or used to spawn a new process (i.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"[Create Process with Token]).",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary must already be in a privileged user context (i.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"administrator) to steal a token.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Any standard user can use the runas command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"There are also other mechanisms, such as Active Directory fields, that can be used to modify access tokens.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may create a new process with a different token to escalate privileges and bypass access controls.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Processes can be created with the token and resulting security context of another user using features such as CreateProcessWithTokenW and runas.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may make and impersonate tokens to escalate privileges and bypass access controls.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"If an adversary has a username and password but the user is not logged onto the system, the adversary can then create a logon session for the user using the LogonUser function.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"The function will return a copy of the new session's access token and the adversary can use SetThreadToken to assign the token to a thread.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"New processes are typically spawned directly from their parent, or calling, process unless explicitly specified.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"One way of explicitly assigning the PPID of a new process is via the CreateProcess API call, which supports a parameter that defines the PPID to use.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may use SID-History Injection to escalate privileges and bypass access controls.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"The Windows security identifier (SID) is a unique value that identifies a user or group account.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"SIDs are used by Windows security in both security descriptors and access tokens.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may duplicate then impersonate another user's token to escalate privileges and bypass access controls.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary can create a new access token that duplicates an existing token using DuplicateToken(Ex).",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"The token can then be used with ImpersonateLoggedOnUser to allow the calling thread to impersonate a logged on user's security context, or with SetThreadToken to assign the impersonated token to a thread.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"An adversary may do this when they have a specific, existing process they want to assign the new token to.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"For example, this may be useful for when the target user has a non-network logon session on the system.",DEFENSE_EVASION,PRIVILEGE_ESCALATION
"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users.",IMPACT
"Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts.",IMPACT
"Adversaries may also subsequently log off and/or perform a [System Shutdown/Reboot] to set malicious changes into place.",IMPACT
"objective.",IMPACT
"Adversaries may attempt to get a listing of accounts on a system or within an environment.",DISCOVERY
"This information can help adversaries determine which accounts exist to aid in follow-on behavior.",DISCOVERY
"Adversaries may attempt to get a listing of cloud accounts.",DISCOVERY
"Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application.",DISCOVERY
"With authenticated access there are several tools that can be used to find accounts.",DISCOVERY
"The Get-MsolRoleMember PowerShell cmdlet can be used to obtain account names given a role or permissions group in Office 365.",DISCOVERY
"Adversaries may attempt to get a listing of domain accounts.",DISCOVERY
"This information can help adversaries determine which domain accounts exist to aid in follow-on behavior.",DISCOVERY
"Commands such as net user /domain and net group /domain of the [Net] utility, dscacheutil -q groupon macOS, and ldapsearch on Linux can list domain users and groups.",DISCOVERY
"Adversaries may attempt to get a listing of email addresses and accounts.",DISCOVERY
"Adversaries may try to dump Exchange address lists such as global address lists (GALs).",DISCOVERY
"Adversaries may attempt to get a listing of local system accounts.",DISCOVERY
"This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.",DISCOVERY
"Commands such as net user and net localgroup of the [Net] utility and id and groupson macOS and Linux can list local users and groups.",DISCOVERY
"On Linux, local users can also be enumerated through the use of the /etc/passwd file.",DISCOVERY
"On macOS the dscl.",DISCOVERY
"list /Users command can be used to enumerate local accounts.",DISCOVERY
"Adversaries may manipulate accounts to maintain access to victim systems.",PERSISTENCE
"Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups.",PERSISTENCE
"These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",PERSISTENCE
"In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain.",PERSISTENCE
"However, account manipulation may also lead to privilege escalation where modifications grant access to additional roles, permissions, or higher-privileged [Valid Accounts].",PERSISTENCE
"Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.",PERSISTENCE
"Adversaries may add credentials for Service Principals and Applications in addition to existing legitimate credentials in Azure AD.",PERSISTENCE
"An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant.",PERSISTENCE
"For example, they may update IAM policies in cloud-based environments or add a new global administrator in Office 365 environments.",PERSISTENCE
"Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.",PERSISTENCE
"For example, the Add-MailboxPermission [PowerShell] cmdlet, available in on-premises Exchange and in the cloud-based service Office 365, adds permissions to a mailbox.",PERSISTENCE
"Adversaries may register a device to an adversary-controlled account.",PERSISTENCE
"Devices may be registered in a multifactor authentication (MFA) system, which handles authentication to the network, or in a device management system, which handles device access and compliance.",PERSISTENCE
"MFA systems, such as Duo or Okta, allow users to associate devices with their accounts in order to complete MFA requirements.",PERSISTENCE
"An adversary that compromises a user’s credentials may enroll a new device in order to bypass initial MFA requirements and gain persistent access to a network.",PERSISTENCE
"Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host.",PERSISTENCE
"Linux distributions and macOS commonly use key-based authentication to secure the authentication process of SSH sessions for remote management.",PERSISTENCE
"The authorized_keys file in SSH specifies the SSH keys that can be used for logging into the user account for which the file is configured.",PERSISTENCE
"This file is usually found in the user's home directory under &lt;user-home&gt;/.",PERSISTENCE
"ssh/authorized_keys.",PERSISTENCE
"Where authorized_keys files are modified via cloud APIs or command line interfaces, an adversary may achieve privilege escalation on the target virtual machine if they add a key to a higher-privileged user.",PERSISTENCE
"Adversaries may buy, lease, or rent infrastructure that can be used during targeting.",RESOURCE_DEVELOPMENT
"A wide variety of infrastructure exists for hosting and orchestrating adversary operations.",RESOURCE_DEVELOPMENT
"Infrastructure solutions include physical or cloud servers, domains, and third-party web services.",RESOURCE_DEVELOPMENT
"Additionally, botnets are available for rent or purchase.",RESOURCE_DEVELOPMENT
"Use of these infrastructure solutions allows an adversary to stage, launch, and execute an operation.",RESOURCE_DEVELOPMENT
"Solutions may help adversary operations blend in with traffic that is seen as normal, such as contact to third-party web services.",RESOURCE_DEVELOPMENT
"Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down.",RESOURCE_DEVELOPMENT
"Adversaries may buy, lease, or rent a network of compromised systems that can be used during targeting.",RESOURCE_DEVELOPMENT
"A botnet is a network of compromised systems that can be instructed to perform coordinated tasks.",RESOURCE_DEVELOPMENT
"Adversaries may set up their own Domain Name System (DNS) servers that can be used during targeting.",RESOURCE_DEVELOPMENT
"During post-compromise activity, adversaries may utilize DNS traffic for various tasks, including for Command and Control (ex: [Application Layer Protocol]).",RESOURCE_DEVELOPMENT
"Instead of hijacking existing DNS servers, adversaries may opt to configure and run their own DNS servers in support of operations.",RESOURCE_DEVELOPMENT
"By running their own DNS servers, adversaries can have more control over how they administer server-side DNS C2 traffic ([DNS]).",RESOURCE_DEVELOPMENT
"With control over a DNS server, adversaries can configure DNS applications to provide conditional responses to malware and, generally, have more flexibility in the structure of the DNS-based C2 channel.",RESOURCE_DEVELOPMENT
"Adversaries may purchase domains that can be used during targeting.",RESOURCE_DEVELOPMENT
"Domain names are the human readable names used to represent one or more IP addresses.",RESOURCE_DEVELOPMENT
"They can be purchased or, in some cases, acquired for free.",RESOURCE_DEVELOPMENT
"Adversaries can use purchased domains for a variety of purposes, including for [Phishing], [Drive-by Compromise], and Command and Control.",RESOURCE_DEVELOPMENT
"Adversaries may buy, lease, or rent physical servers that can be used during targeting.",RESOURCE_DEVELOPMENT
"Use of servers allows an adversary to stage, launch, and execute an operation.",RESOURCE_DEVELOPMENT
"During post-compromise activity, adversaries may utilize servers for various tasks, including for Command and Control.",RESOURCE_DEVELOPMENT
